,reactant_1,reactant_2,product,Yield
15290,CC(=O)Cl,CC(C)(C)OC(=O)N1CCC2(CC1)N=C(CN)NC2=O,CC(=O)NCC1=NC2(CCN(C(=O)OC(C)(C)C)CC2)C(=O)N1,87.0
15291,O=C(CCCCl)c1cccs1,OCCO,ClCCCC1(c2cccs2)OCCO1,97.3
15293,COC(=O)CCCN,O=C1CCC2(CC1)OCCO2,O=C1CCCN1C1CCC2(CC1)OCCO2,50.6
15294,Cc1c(Cl)cc(B2OC(C)(C)C(C)(C)O2)cc1Cl,Fc1ccc(Br)cc1,Cc1c(Cl)cc(-c2ccc(F)cc2)cc1Cl,87.7
15295,Cc1c(Cl)cc(B2OC(C)(C)C(C)(C)O2)cc1Cl,Fc1ccc(Br)cc1,Cc1c(Cl)cc(-c2ccc(F)cc2)cc1Cl,86.0
15296,N[C@H]1CCc2[nH]ncc2C1,O=C1OC(O)C[C@H]1Cc1c(Cl)cc(-c2ccc(F)cc2)cc1Cl,O=C(O)[C@@H](CCN[C@H]1CCc2[nH]ncc2C1)Cc1c(Cl)cc(-c2ccc(F)cc2)cc1Cl,66.6
15298,Nc1cccc(Nc2cc(Cl)ncn2)n1,Oc1ccc2c(c1)OCCO2,Nc1cccc(Nc2cc(Oc3ccc4c(c3)OCCO4)ncn2)n1,29.0
15299,COc1ccc(Br)cc1[N+](=O)[O-],OB(O)c1cccnc1,COc1ccc(-c2cccnc2)cc1[N+](=O)[O-],76.0
15304,CN(C)CC(=O)Cl,Nc1ccc(Cl)c([N+](=O)[O-])c1,CN(C)CC(=O)Nc1ccc(Cl)c([N+](=O)[O-])c1,67.0
15305,C=CS(C)(=O)=O,COc1cc(N2CCNCC2)c(C)cc1[N+](=O)[O-],COc1cc(N2CCN(CCS(C)(=O)=O)CC2)c(C)cc1[N+](=O)[O-],60.0
15306,COc1cc2c(cc1[N+](=O)[O-])N(C(=O)CBr)CC2,OC1CCNC1,COc1cc2c(cc1N)N(C(=O)CN1CCC(O)C1)CC2,92.0
15310,Cc1ccc(S(=O)(=O)n2ccc3c(Cl)nc(Cl)nc32)cc1,NC(=O)c1c(N)ccc(F)c1F,Cc1ccc(S(=O)(=O)n2ccc3c(Nc4ccc(F)c(F)c4C(N)=O)nc(Cl)nc32)cc1,55.0
15314,COc1cc2c(cc1N)N(CC(=O)N(C)C)CC2,Cc1ccc(S(=O)(=O)n2ccc3c(Nc4cccc(F)c4C(N)=O)nc(Cl)nc32)cc1,COc1cc2ccn(CC(=O)N(C)C)c2cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2ccnc-2[nH]1,6.0
15315,CN(C)C=O,COC(=O)c1c(Br)cccc1Nc1nc(Nc2ccc(N3CCN(C(C)C)CC3)cc2OC)nc2c1ccn2S(=O)(=O)c1ccc(C)cc1,COC(=O)c1c(C#N)cccc1Nc1nc(Nc2ccc(N3CCN(C(C)C)CC3)cc2OC)nc2c1ccn2S(=O)(=O)c1ccc(C)cc1,86.0
15317,CC[C@H](Nc1nc(-c2cccc3ncccc23)cnc1N)c1ccccc1,O=C([O-])[O-],CC[C@@H](c1ccccc1)n1c(=O)[nH]c2ncc(-c3cccc4ncccc34)nc21,77.0
15318,NC(=O)c1ccc(B(O)O)cc1,O=c1[nH]c2ncc(Br)nc2n1CCC1CCOCC1,NC(=O)c1ccc(-c2cnc3[nH]c(=O)n(CCC4CCOCC4)c3n2)cc1,89.0
15325,CC1(C)c2cc(O)ccc2-c2ccc(O)cc21,O=C(O)c1ccc(O)cc1F,CC1(C)c2cc(OC(=O)c3ccc(O)cc3F)ccc2-c2ccc(OC(=O)c3ccc(O)cc3F)cc21,35.0
15327,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N[C@H]5CC[C@H](N)CC5)nc(Cl)nc43)[C@H](OC(C)=O)[C@@H]2OC(C)=O)n1,Clc1nc(Cl)c2ncn(C3CCCCO3)c2n1,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N[C@H]5CC[C@H](Nc6nc(Cl)nc7c6ncn7C6CCCCO6)CC5)nc(Cl)nc43)[C@H](OC(C)=O)[C@@H]2OC(C)=O)n1,91.8
15330,Cc1ccccc1CBr,Nc1nc(N)c2c(OCC3CCNCC3)cccc2n1,Cc1ccccc1CN1CCC(COc2cccc3nc(N)nc(N)c23)CC1,89.0
15331,ClCc1ccc2c(c1)OCO2,Nc1nc(N)c2c(N3CCNCC3)cccc2n1,Nc1nc(N)c2c(N3CCN(Cc4ccc5c(c4)OCO5)CC3)cccc2n1,50.0
15332,Nc1nc(N)c2c(N3CCNCC3)cccc2n1,O=C(Cl)c1ccc(Cl)cc1,Nc1nc(N)c2c(N3CCN(C(=O)c4ccc(Cl)cc4)CC3)cccc2n1,53.0
15333,CC1(C23CC4CC2CC(CO)(C4)C3)OCCO1,CS(=O)(=O)Cl,CC1(C23CC4CC2CC(COS(C)(=O)=O)(C4)C3)OCCO1,89.6
15334,N#C[C@@H]1CCCN1C(=O)CCl,NC12CC3CC1CC(CN1CCSCC1)(C3)C2,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC1CC(CN1CCSCC1)(C3)C2,35.3
15335,N#C[C@@H]1CCCN1C(=O)CCl,NC12CC3CC1CC(c1ccccc1)(C3)C2,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC1CC(c1ccccc1)(C3)C2,48.7
15337,O=S(=O)(c1ccccc1-c1ccc(Cl)cc1)c1ccccc1-c1ccc(Cl)cc1,c1ccc2[nH]cnc2c1,O=S(=O)(c1ccccc1)c1ccc(-n2cnc3ccccc32)cc1,91.0
15338,Nc1cccc(C=O)c1,O=C=Nc1cc(C(F)(F)F)ccc1F,O=Cc1cccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)c1,57.0
15339,Fc1cc2c(cc1Br)N=Cc1ccccc1O2,O=C1CCCC(=O)O1,O=C(O)[C@@H]1CCC(=O)N2c3cc(Br)c(F)cc3Oc3ccccc3[C@@H]12,81.0
15342,Brc1ccc2c(ccn2C2CCOCC2)c1,C[Si](C)(C)[N-][Si](C)(C)C,Nc1ccc2c(ccn2C2CCOCC2)c1,88.8
15343,CCN(C(=O)OC(C)(C)C)C1CC=C(c2c[nH]c3cc(N)ccc23)CC1,CSC(=N)c1cccs1,CCN(C(=O)OC(C)(C)C)C1CC=C(c2c[nH]c3cc(NC(=N)c4cccs4)ccc23)CC1,75.0
15346,C=C(c1ccc(OC(F)(F)F)cc1)c1cccc(Br)c1,NC(N)=O,NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(Br)c2)CO1,45.0
15347,C=C(c1cccc(Br)c1)c1ccc(OC(F)F)c(Cl)c1,NC(N)=O,NC1=NC(c2cccc(Br)c2)(c2ccc(OC(F)F)c(Cl)c2)CO1,40.0
15348,CI,OCCc1cc(Br)cc(Br)c1,COCCc1cc(Br)cc(Br)c1,86.0
15349,N#Cc1cc(F)cc(Br)c1,OCC1CC1,N#Cc1cc(Br)cc(OCC2CC2)c1,84.0
15350,COC(=O)C1(c2ccc(N)cc2)CCCC1,Clc1nc(CC2CCCC2)nc2c1CCC2,COC(=O)C1(c2ccc(Nc3nc(CC4CCCC4)nc4c3CCC4)cc2)CCCC1,63.0
15351,CCNCc1ccccc1,Clc1nc(Cl)c2c(n1)CCC2,CCN(Cc1ccccc1)c1nc(Cl)nc2c1CCC2,99.3
15352,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,CNc1ncc2cc(Br)c(=O)n(C)c2n1,CNc1ncc2cc(B3OC(C)(C)C(C)(C)O3)c(=O)n(C)c2n1,63.9
15353,Cc1ccc2c(=O)[nH]ccc2c1I,O=P(Cl)(Cl)Cl,Cc1ccc2c(Cl)nccc2c1I,93.9
15355,O=C(OC(=O)C(F)(F)F)C(F)(F)F,[O-][n+]1nc(NCCO)nc2cc3c(cc21)CCC3,[O-][n+]1nc(NCCO)[n+]([O-])c2cc3c(cc21)CCC3,40.4
15356,COCCCN(C)CCN,[O-][n+]1nc(Cl)nc2cc3c(cc21)CCC3,COCCCN(C)CCNc1nc2cc3c(cc2[n+]([O-])n1)CCC3,74.0
15357,CC(=O)Nc1ccc2c(c1)CC(C)C2,O=[N+]([O-])O,CC(=O)Nc1cc2c(cc1[N+](=O)[O-])CC(C)C2,96.3
15359,N#CN,Nc1cc2c(cc1[N+](=O)[O-])OCC2,Nc1nc2cc3c(cc2[n+]([O-])n1)OCC3,23.0
15360,CN(C)CCNc1nc2cc3c(cc2[n+]([O-])n1)OCC3,O=C(OC(=O)C(F)(F)F)C(F)(F)F,CN(C)CCNc1n[n+]([O-])c2cc3c(cc2[n+]1[O-])CCO3,25.9
15361,CCN(CC)CCN,[O-][n+]1nc(Cl)nc2cc3c(cc21)CCO3,CCN(CC)CCNc1nc2cc3c(cc2[n+]([O-])n1)CCO3,75.1
15362,CC(=O)OC(C)=O,Nc1ccc2c(c1)OCO2,CC(=O)Nc1ccc2c(c1)OCO2,86.1
15363,CN(C)CCN,[O-][n+]1nc(Cl)nc2ccc3c(c21)CCCO3,CN(C)CCNc1nc2ccc3c(c2[n+]([O-])n1)CCCO3,95.0
15364,CN1CCc2ccc(N)c([N+](=O)[O-])c2C1,N#CN,CN1CCc2ccc3nc(N)n[n+]([O-])c3c2C1,63.0
15365,CC[Sn](CC)(CC)CC,CN1CCc2ccc3nc(Cl)n[n+]([O-])c3c2C1,CCc1nc2ccc3c(c2[n+]([O-])n1)CN(C)CC3,60.0
15373,COC(=O)CNC(=O)c1cccc(C=CC(=O)c2c(O)cc(C)[nH]c2=O)c1,[NH4+],Cc1cc(O)c(C(=O)C=Cc2cccc(C(=O)NCC(N)=O)c2)c(=O)[nH]1,92.0
15375,C=CCCC(=O)Cl,O=C1N[C@@H](Cc2ccccc2)CO1,C=CCCC(=O)N1C(=O)OC[C@@H]1Cc1ccccc1,72.0
15376,Nc1ccn(-c2ccc(Cl)c(Cl)c2)n1,O=C(Cl)CCl,O=C(CCl)Nc1ccn(-c2ccc(Cl)c(Cl)c2)n1,92.9
15378,C=CC(=O)OC,O=C(O)c1ccc(Br)c2ccccc12,COC(=O)/C=C/c1ccc(C(=O)O)c2ccccc12,97.0
15381,CC(C)C(=O)Cl,Fc1ccc(N[C@H]2CCN(Cc3ccccc3)C2)c(F)c1,CC(C)C(=O)N(c1ccc(F)cc1F)[C@H]1CCN(Cc2ccccc2)C1,86.0
15383,C=O,COC(=O)[C@H]1CCCN1,COC(=O)[C@H]1CCCN1C,93.0
15386,Brc1ccc(I)cc1,C#Cc1ccccc1,Brc1ccc(C#Cc2ccccc2)cc1,58.3
15388,COc1cc2nccc(Oc3ccc(NC(=O)Oc4ccccc4)c(Cl)c3)c2cc1C(N)=O,NC1CC1,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,80.2
15389,NC1CCCCCC1,O=C(Cl)c1ccc(Br)cc1,O=C(NC1CCCCCC1)c1ccc(Br)cc1,93.0
15390,CC(C)(C)OC(=O)N1CCc2ccc(Cl)c(CCl)c2CC1,Sc1cccs1,CC(C)(C)OC(=O)N1CCc2ccc(Cl)c(CSc3cccs3)c2CC1,70.6
15391,CC(C)(C)OC(=O)N1CCc2ccc(Cl)c(CSc3nnc(N)s3)c2CC1,O=CC1CC1,CC(C)(C)OC(=O)N1CCc2ccc(Cl)c(CSc3nnc(NCC4CC4)s3)c2CC1,31.0
15393,O=S(=O)(Nc1nccs1)c1ccc(Cl)nc1,[NH4+],Nc1ccc(S(=O)(=O)Nc2nccs2)cn1,22.0
15395,C[C@@H](N)CN1CCOCC1,O=[N+]([O-])c1cc(Br)ccc1F,C[C@H](CN1CCOCC1)Nc1ccc(Br)cc1[N+](=O)[O-],95.0
15396,CC(=O)O,O=[N+]([O-])c1cc(Br)ccc1N[C@@H]1CCNC[C@H]1O,CN1CC[C@@H](Nc2ccc(Br)cc2[N+](=O)[O-])[C@H](O)C1,97.0
15398,CC(=O)OCCBr,O=c1c2ccccc2c2nc3ccc(O)cn3c2n1-c1ccc([N+](=O)[O-])cc1,CCOC(=O)COc1ccc2nc3c4ccccc4c(=O)n(-c4ccc([N+](=O)[O-])cc4)c3n2c1,95.0
15399,CC(=O)OCCBr,O=c1c2ccccc2c2nc3ccc(O)cn3c2n1-c1ccc([N+](=O)[O-])cc1,CC(=O)OCCOc1ccc2nc3c4ccccc4c(=O)n(-c4ccc([N+](=O)[O-])cc4)c3n2c1,66.3
15400,Br[Mg]c1ccccc1,O=Cc1ccc(Cl)nc1,OC(c1ccccc1)c1ccc(Cl)nc1,96.0
15402,CC(C)(C)OC(=O)N1CCC(=O)CC1,Fc1c(Cl)cccc1I,OC1(c2cccc(Cl)c2F)CCNCC1,44.0
15404,CCOC(=O)Nc1n[nH]c2ccccc12,N#CC1(c2ccccc2)CCNCC1,N#CC1(c2ccccc2)CCN(C(=O)Nc2n[nH]c3ccccc23)CC1,75.2
15405,CC(C)[N-]C(C)C,CCOC(=O)CC1CCC(O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CC1,CCOC(=O)C(CC#N)C1CCC(O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CC1,50.0
15406,COC(=O)CBr,FC1(F)CCNCC1,COC(=O)CN1CCC(F)(F)CC1,65.1
15407,O=C1C(N2CCC(F)(F)CC2)CCN1Cc1c(Cl)cc(OS(=O)(=O)C(F)(F)F)cc1Cl,OB(O)c1ccc(-c2ccccc2)cc1,O=C1C(N2CCC(F)(F)CC2)CCN1Cc1c(Cl)cc(-c2ccc(-c3ccccc3)cc2)cc1Cl,100.0
15408,CC[N+](=O)[O-],O=Cc1ccccc1,CC(C(O)c1ccccc1)[N+](=O)[O-],93.7
15409,NC(=S)CN1C(=O)c2ccccc2C1=O,O=C(c1ccccc1)C(Br)Sc1ccccc1,O=C1c2ccccc2C(=O)N1Cc1nc(-c2ccccc2)c(Sc2ccccc2)s1,71.0
15410,CCOC(=O)c1cccc(N)c1,O=S(=O)(Cl)c1c(F)cccc1F,CCOC(=O)c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1,95.0
15411,CC(C)(C)c1nc(-c2ccc(F)c(N)c2)c(-c2ccnc(Cl)n2)s1,O=S(=O)(Cl)c1c(F)cccc1F,CC(C)(C)c1nc(-c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(-c2ccnc(Cl)n2)s1,62.2
15412,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(Cl)n2)s1,CSCCCN,CSCCCNc1nccc(-c2sc(C(C)(C)C)nc2-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)n1,90.0
15413,C=CCOC(=O)Nc1cccc(C(=O)OC)c1OC,Cc1ccnc(Cl)n1,C=CCOC(=O)Nc1cccc(C(=O)Cc2ccnc(Cl)n2)c1OC,67.8
15414,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(Cl)n2)s1,[NH4+],CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,88.0
15415,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2F)c(-c2ccnc(Cl)n2)s1,NCCN1CCCC1=O,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2F)c(-c2ccnc(NCCN3CCCC3=O)n2)s1,68.0
15416,COC(=O)c1cc(N)ccc1F,O=S(=O)(Cl)c1c(F)cccc1F,COC(=O)c1cc(NS(=O)(=O)c2c(F)cccc2F)ccc1F,100.0
15417,NCc1nccc(-c2sc(N3CCOCC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2F)n1,O=C(Cl)C1CCCC1,O=C(NCc1nccc(-c2sc(N3CCOCC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2F)n1)C1CCCC1,25.6
15418,C=CCOC(=O)Nc1cccc(C(=O)Cc2ccnc(Cl)n2)c1F,CC(C)(C)OC(=O)NC(C)(C)C(N)=S,C=CCOC(=O)Nc1cccc(-c2nc(C(C)(C)NC(=O)OC(C)(C)C)sc2-c2ccnc(Cl)n2)c1F,54.4
15420,CC(C)(C)OC(=O)N1CCCC1=O,O=C(Cl)C1CCCC1,CC(C)(C)OC(=O)N1CCC(C(=O)C2CCCC2)C1=O,42.7
15421,CC(C)(COS(=O)(=O)CCCCl)C(C=O)OCc1ccccc1,CC(C)=O,CC(C)(COS(=O)(=O)CCCCl)C(OCc1ccccc1)C(=O)O,96.0
15424,O=C(O)C(Cc1ccc([N+](=O)[O-])cc1)(Cc1ccc([N+](=O)[O-])cc1)C(=O)O,OCCCCCCCl,O=C(OCCCCCCCl)C(Cc1ccc([N+](=O)[O-])cc1)Cc1ccc([N+](=O)[O-])cc1,78.4
15425,CN(C)CC(=O)O,Nc1cccc2nc(N[C@@H]3CCc4ccccc43)ccc12,CN(C)CC(=O)Nc1cccc2nc(N[C@@H]3CCc4ccccc43)ccc12,58.3
15426,COc1ccc(S(=O)(=O)Nc2nc(-c3cccc([N+](=O)[O-])c3)cs2)cc1OC,O=C([O-])[O-],COc1ccc(S(=O)(=O)N(C)c2nc(-c3cccc([N+](=O)[O-])c3)cs2)cc1OC,6.8
15427,Cc1cc(C(=O)Cl)ccc1[N+](=O)[O-],NC1CC1,Cc1cc(C(=O)NC2CC2)ccc1[N+](=O)[O-],76.2
15428,CC(C)(C)OC(=O)NCC1CCN1,O=S(=O)(Cl)c1ccccc1-c1ccccc1,CC(C)(C)OC(=O)NCC1CCN1S(=O)(=O)c1ccccc1-c1ccccc1,68.3
15429,COc1ccccc1C(=O)Cl,O=C(NC[C@@H]1CCN1)c1cccc2occc12,COc1ccccc1C(=O)N1CC[C@H]1CNC(=O)c1cccc2occc12,53.4
15430,Brc1ccc(-c2ccccc2)cc1,Brc1ccc(-c2nc(-c3ccc(-c4ccccc4)cc3)nc(-c3ccc(-c4ccccc4)cc3)n2)cc1,c1ccc(-c2ccc(-c3ccc(-c4nc(-c5ccc(-c6ccccc6)cc5)nc(-c5ccc(-c6ccccc6)cc5)n4)cc3)cc2)cc1,71.0
15431,Brc1ccc(-c2ccncc2)nc1,CC(C)(C)c1ccc(-c2nc(-c3ccc(Br)cc3)nc(-c3ccc(C(C)(C)C)cc3)n2)cc1,CC(C)(C)c1ccc(-c2nc(-c3ccc(-c4ccc(-c5ccncc5)nc4)cc3)nc(-c3ccc(C(C)(C)C)cc3)n2)cc1,56.2
15432,CCOC(=O)c1c(-c2ccc(F)cc2)oc2ccc(O)c([N+](=O)[O-])c12,O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC(=O)c1c(-c2ccc(F)cc2)oc2ccc(OS(=O)(=O)C(F)(F)F)c([N+](=O)[O-])c12,75.3
15433,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cccc(C(=O)NC(C)(C)C(=O)O)c3)cc12,Cc1cc(N)no1,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cccc(C(=O)NC(C)(C)C(=O)Nc4cc(C)on4)c3)cc12,9.5
15434,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cccc(C(=O)O)c3)cc12,CNS(=O)(=O)c1ccccc1,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cccc(C(=O)N(C)S(=O)(=O)c4ccccc4)c3)cc12,55.3
15435,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cccc(C(=O)O)c3)cc12,c1ccc(C2CCCN2)cc1,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cccc(C(=O)N4CCCC4c4ccccc4)c3)cc12,79.4
15437,COC(=O)c1ccc(N)cc1OC,O=S(=O)(O)O,COC(=O)c1ccc(O)cc1OC,75.7
15439,NCC(F)(F)C(=O)O,O=C1OC(=O)c2ccccc21,O=C1c2ccccc2C(=O)N1CC(F)(F)C(=O)O,95.1
15440,COC(=O)c1ccc2c(C3CCCCC3)c[nH]c2c1Cl,[Br-],COC(=O)c1ccc2c(C3CCCCC3)c(Br)[nH]c2c1Cl,66.2
15443,CN(C)C=O,O=C1CCC(=O)c2ccc(I)cc2N1,N#Cc1ccc2c(c1)NC(=O)CCC2=O,70.0
15445,C#C[Si](C)(C)C,Cc1ncc(Br)cc1[N+](=O)[O-],Cc1ncc(C#C[Si](C)(C)C)cc1[N+](=O)[O-],91.1
15448,CCC(CC)Nc1nc(Cl)ccc1N,O=C(n1ccnc1)n1ccnc1,CCC(CC)n1c(O)nc2ccc(Cl)nc21,65.1
15451,O=Cc1ccc(Br)c(F)c1,[C-]#[N+]C(C)S(=O)(=O)c1ccc(C)cc1,Cc1ncoc1-c1ccc(Br)c(F)c1,81.2
15452,O=Cc1ccc(Br)c(F)c1,[C-]#[N+]C(C)S(=O)(=O)c1ccc(C)cc1,Cc1ncoc1-c1ccc(Br)c(F)c1,91.1
15454,CNC(=O)c1cc(I)c(C)n(-c2cccc(C(F)(F)F)c2)c1=O,N#Cc1ccc(-n2nccc2B(O)O)cc1,CNC(=O)c1cc(-c2ccnn2-c2ccc(C#N)cc2)c(C)n(-c2cccc(C(F)(F)F)c2)c1=O,36.4
15455,COC(=O)c1cc(F)ccc1O,OCCc1ccc(C(F)(F)F)cc1,COC(=O)c1cc(F)ccc1OCCc1ccc(C(F)(F)F)cc1,58.2
15457,FC(F)(F)c1ccccc1CBr,OCc1ccccc1O,OCc1ccccc1OCc1ccccc1C(F)(F)F,92.4
15458,COC(=O)[C@@H](N)CO,CSc1ncc2c(n1)N1CCC[C@H]1CN(c1cccc(C(=O)O)c1)C2=O,COC(=O)[C@@H]1COC(c2cccc(N3C[C@@H]4CCCN4c4nc(SC)ncc4C3=O)c2)=N1,75.1
15459,CS(=O)(=O)c1cccc(CN)c1,O=C(Cl)c1cc(C(F)(F)F)nn1-c1ccccc1Cl,CS(=O)(=O)c1cccc(CNC(=O)c2cc(C(F)(F)F)nn2-c2ccccc2Cl)c1,21.0
15460,Nc1ccc(Br)cc1,O=C(Cl)c1cc(C(F)(F)F)nn1-c1ccccc1Cl,O=C(Nc1ccc(Br)cc1)c1cc(C(F)(F)F)nn1-c1ccccc1Cl,12.0
15461,CCOC(=O)c1cn(-c2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)c(-c2ccccc2C(F)(F)F)n1,NN,CS(=O)(=O)c1cccc(-c2ccc(-n3cc(C(=O)NN)nc3-c3ccccc3C(F)(F)F)cc2)c1,70.0
15462,COC(=O)c1ccc(Br)cc1NC(=O)c1ccccc1,OB(O)c1cc2ccccc2s1,O=C(Nc1cc(-c2cc3ccccc3s2)ccc1C(=O)O)c1ccccc1,3.2
15464,COC(=O)C(NC(=O)OCc1ccccc1)P(=O)(OC)OC,Cc1cc(Br)c(C=O)cc1OCc1ccccc1,COC(=O)/C(=C/c1cc(OCc2ccccc2)c(C)cc1Br)NC(=O)OCc1ccccc1,58.1
15466,C[C@H]1CN[C@H](C)CN1c1ccc2nnc(C(F)(F)F)n2n1,O=Cc1cccnc1,C[C@H]1CN(Cc2cccnc2)[C@H](C)CN1c1ccc2nnc(C(F)(F)F)n2n1,84.0
15467,N#CC1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1,NO,N=C(NO)C1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1,86.0
15468,FC(F)(F)c1nnc2ccc(Cl)nn12,OC1CCNCC1,OC1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1,88.0
15470,CC(=O)O,c1cc2[nH]ccc2cn1,O=Cc1c[nH]c2ccncc12,4.65
15471,FC(F)(F)c1nnc2ccc(Cl)nn12,Oc1ccc(N2CCNCC2)cc1,Oc1ccc(N2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,84.2
15472,Cc1cc(C=O)ccn1,FC(F)(F)c1nnc2ccc(N3CCNCC3)nn12,Cc1cc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)ccn1,61.0
15474,CC(=O)Cl,FC(F)(F)c1nnc2ccc(N3CCC(c4ccc(OCCN5CCNCC5)cc4)CC3)nn12,CC(=O)N1CCN(CCOc2ccc(C3CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,35.0
15476,CNCCOC,O=C(O)COc1ccc(C2(O)CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,COCCN(C)C(=O)COc1ccc(C2(O)CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1,48.9
15477,Cc1ccc(Oc2ccc(N)cc2C)cn1,O=c1[nH]cnc2ccc([N+](=O)[O-])cc12,Cc1ccc(Oc2ccc(Nc3ncnc4ccc(N)cc34)cc2C)cn1,56.0
15478,CS(=O)(=O)CCN,Cc1ccc(Oc2ccc(Nc3ncnc4ccc(NC(=O)CCNC(=O)CCl)cc34)cc2C)cn1,Cc1ccc(Oc2ccc(Nc3ncnc4ccc(NC(=O)CCNC(=O)CNCCS(C)(=O)=O)cc34)cc2C)cn1,29.0
15480,C=CC(=O)O,COCCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)[C@@H]1CCCN1,C=CC(=O)N1CCC[C@H]1C(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)ncnc2cc1OCCOC,9.0
15481,NCCC1CC1,O=C(O)c1ccc(N2CC3=C(CN(C(=O)c4ccccc4C(F)(F)F)C3)C2)nc1,O=C(NCCC1CC1)c1ccc(N2CC3=C(CN(C(=O)c4ccccc4C(F)(F)F)C3)C2)nc1,37.0
15482,COc1ccc(C(C)=O)c(N)c1,COc1ccc(N)cc1Cl,COc1cc(C(C)=O)c(N)cc1Cl,50.0
15484,C=CCCCCN(C)C(=O)[C@@H]1C[C@@H](O)CN1,C=C[C@@H]1C[C@]1(NC(=O)n1cc[n+](C)c1)C(=O)OCC,C=CCCCCN(C)C(=O)[C@@H]1C[C@@H](O)CN1C(=O)N[C@]1(C(=O)OCC)C[C@@H]1C=C,70.0
15485,C=Cc1cc(Br)ccc1OC(C)C,CCO[PH](=O)c1ccc(C(F)(F)F)cc1,C=Cc1cc(P(=O)(OCC)c2ccc(C(F)(F)F)cc2)ccc1OC(C)C,8.6
15486,COc1cnccc1[N+](=O)[O-],[C-]#N,COc1c([N+](=O)[O-])ccnc1C#N,53.0
15488,CCCC(=CCl)C(=O)C(C)C,CCOC(=O)CS,CCCc1csc(C(=O)O)c1C(C)C,30.5
15489,CCc1cc(C(=N)NO)cc(C)c1CCC(=O)O,Cc1sc(C(=O)O)cc1CC(C)C,CCc1cc(-c2noc(-c3cc(CC(C)C)c(C)s3)n2)cc(C)c1CCC(=O)O,15.6
15490,CC(C)(C)OC(=O)N1CCC(O)CC1,Clc1ccnc(Cl)n1,CC(C)(C)OC(=O)N1CCC(Oc2ccnc(Cl)n2)CC1,26.0
15491,CC(C)(C)OC(=O)N1CCC(OS(C)(=O)=O)CC1,O=c1cc(O)cc[nH]1,CC(C)(C)OC(=O)N1CCC(Oc2cc[nH]c(=O)c2)CC1,38.7
15492,CSc1ccc(Br)cc1,O=C(OCc1ccccc1)N1CCC(Oc2cc[nH]c(=O)c2)CC1,CSc1ccc(-n2ccc(OC3CCN(C(=O)OCc4ccccc4)CC3)cc2=O)cc1,95.4
15493,CC(C)(C)OC(=O)N1CCC(OS(C)(=O)=O)CC1,O=c1cc(O)cc[nH]1,CC(C)(C)OC(=O)N1CCC(Oc2cc[nH]c(=O)c2)CC1,17.0
15494,C#CCBr,C1CCNCC1,C#CCN1CCCCC1,56.8
